Longitude;Latitude;Lote;Conjunto de datos;Producto;Id obj.;Distancia(m);Curso(deg);Duración(s);Elevación(m);Tiempo;Cuenta de área;Anch. de fja.(m);Desviación Y(m);Flj cultivos(M)(tonne/h);Humedad(%);Masa de rend.(húmedo)(tonne/ha);(húmedo)Vol. Rend. (húmedo)(L/ha);(seco)Masa de rend.(tonne/ha);Vol. de rend.(seco)(L/ha);Humedad(%);Temp. aire(°C);Velocidad del viento(km/h);Temp. suelo(°C);Num. de paso;Velocidad(km/h);Prod.(ha/h);Flj cultivos(V)(m³/s);Fecha
-56,56214149;-33,76457901;Sauce Chico;Harvest;1;87;1,431;325,64;1,000;152,97;21/11/2023;Activado;10,67;0,00;28,85;6,830;5,250;7842,1;5,250;7842,1;0,00;-17,78;0,00;-17,78;1;5,152;5,496;0,012;21/11/2023
-56,56214996;-33,76456823;Sauce Chico;Harvest;1;88;1,431;325,58;1,000;152,94;21/11/2023;Activado;10,67;0,00;27,17;6,830;4,943;7384,4;4,943;7384,4;0,00;-17,78;0,00;-17,78;1;5,152;5,496;0,011;21/11/2023
-56,56217454;-33,76453679;Sauce Chico;Harvest;1;89;1,371;326,89;1,000;152,91;21/11/2023;Activado;10,67;0,00;40,51;6,860;7,694;11493;7,694;11493;0,00;-17,78;0,00;-17,78;1;4,936;5,266;0,017;21/11/2023
-56,56218301;-33,76452694;Sauce Chico;Harvest;1;90;1,341;325,94;1,000;152,93;21/11/2023;Activado;10,67;0,00;39,37;6,860;7,644;11419;7,644;11419;0,00;-17,78;0,00;-17,78;1;4,828;5,150;0,016;21/11/2023
-56,56219141;-33,76451703;Sauce Chico;Harvest;1;91;1,351;325,64;1,000;152,98;21/11/2023;Activado;10,67;0,00;38,11;6,850;7,345;10973;7,345;10973;0,00;-17,78;0,00;-17,78;1;4,864;5,189;0,016;21/11/2023
-56,56219948;-33,76450707;Sauce Chico;Harvest;1;92;1,331;325,66;1,000;153,00;21/11/2023;Activado;10,67;0,00;39,28;6,850;7,684;11478;7,684;11478;0,00;-17,78;0,00;-17,78;1;4,792;5,112;0,016;21/11/2023
-56,56220742;-33,76449709;Sauce Chico;Harvest;1;93;1,331;325,80;1,000;153,02;21/11/2023;Activado;10,67;0,00;36,60;6,840;7,159;10694;7,159;10694;0,00;-17,78;0,00;-17,78;1;4,792;5,112;0,015;21/11/2023
-56,56221559;-33,76448693;Sauce Chico;Harvest;1;94;1,361;325,70;1,000;153,02;21/11/2023;Activado;10,67;0,00;41,93;6,850;8,022;11983;8,022;11983;0,00;-17,78;0,00;-17,78;1;4,900;5,227;0,017;21/11/2023
-56,56222416;-33,76447636;Sauce Chico;Harvest;1;95;1,421;325,68;1,000;153,01;21/11/2023;Activado;10,67;0,00;38,71;6,840;7,093;10595;7,093;10595;0,00;-17,78;0,00;-17,78;1;5,116;5,458;0,016;21/11/2023
-56,56223338;-33,76446483;Sauce Chico;Harvest;1;96;1,541;325,71;1,000;152,97;21/11/2023;Activado;10,67;0,00;43,07;6,840;7,277;10870;7,277;10870;0,00;-17,78;0,00;-17,78;1;5,548;5,918;0,018;21/11/2023
-56,56224277;-33,76445314;Sauce Chico;Harvest;1;97;1,561;325,85;1,000;152,93;21/11/2023;Activado;10,67;0,00;42,30;6,840;7,055;10539;7,055;10539;0,00;-17,78;0,00;-17,78;1;5,620;5,995;0,018;21/11/2023
-56,56225212;-33,76444151;Sauce Chico;Harvest;1;98;1,551;325,85;1,000;152,90;21/11/2023;Activado;10,67;0,00;46,23;6,820;7,761;11593;7,761;11593;0,00;-17,78;0,00;-17,78;1;5,584;5,957;0,019;21/11/2023
-56,56226165;-33,76442992;Sauce Chico;Harvest;1;99;1,561;325,76;1,000;152,89;21/11/2023;Activado;10,67;0,00;43,58;6,810;7,269;10859;7,269;10859;0,00;-17,78;0,00;-17,78;1;5,620;5,995;0,018;21/11/2023
-56,56227121;-33,76441838;Sauce Chico;Harvest;1;100;1,561;325,71;1,000;152,87;21/11/2023;Activado;10,67;0,00;44,53;6,800;7,427;11094;7,427;11094;0,00;-17,78;0,00;-17,78;1;5,620;5,995;0,018;21/11/2023
